ref,nome,marca,categoria,qtd,tamanho,material,ean,sku,preco_etiqueta_brl,confianca,status,fotos
AMIGOLD-IMPERIAL-CLEAR-320,Jogo de Copo Imperial Clear,Amigold,Utilidades Domesticas,6,320 ml,Vidro,,,,0.90,ready,1
BLK2241,Kit de Facas de Cozinha 3 Pecas,Sokemvleez,Cozinha,3,,Aco inox,,BLK2241,17.00,0.85,ready,2
Y888-REF1009,Kit de Facas 3 Pecas (cabos coloridos),Y888,Cozinha,3,,Aco inox,7908153066184,1009,10.00,0.97,ready,3
CO0544541,Faca Churrasco Jumbo Wooden 5 pol - 3 Pecas,Fratelli Inox,Cozinha,3,5 pol,Aco inox + madeira,,CO0544541,25.00,0.90,ready,2
TP853,Kit de Faca 2 Pecas (faca + tesoura),Top Casa,Cozinha,2,,,,TP853,18.00,0.88,ready,2
BLK9001,Copo Termico Beer Pints 502ml,The Stay Chill,Utilidades Domesticas,1,502 ml,Aco inox 18/8,,BLK9001,16.00,0.88,ready,4
CGT4053,Copo Automotivo 40oz/1200ml Pintura Diamantada,,Utilidades Domesticas,1,40oz/1200 ml,Aco inox,,CGT4053,42.00,0.85,ready,4
STITCH-1711,Garrafa Retro Stitch 500ml,Stitch (Disney),Utilidades Domesticas,1,500 ml,Plastico,,1711,10.00,0.60,needs_review,2
GDR1001,Copo Inox Bottle 450ml (tampa astronauta),The Stay Chill,Utilidades Domesticas,1,450 ml,Aco inox 18/8,790804 (parcial),GDR1001,25.00,0.90,ready,3
IOD00049,Garrafa de Agua Portatil 650ml,,Utilidades Domesticas,1,650 ml,,,IOD00049,33.00,0.45,needs_review,1
FUNING-789-650,Garrafa Termica 650ml Fun Supply Chain (surprise box),Funing,Utilidades Domesticas,1,650 ml,Aco inox 304,,789,,0.92,ready,4
